LINEA;ID;COBROS
AGRO;CEQ145845;5,339.14
AGRO;CEQ145846;55,574.60
AGRO;CEQ145847;9,817.06
AGRO;CEQ145848;3,108.19
AGRO;CEQ145849;32,622.21
AGRO;CEQ145850;76,627.35
AGRO;CEQ145851;41,190.66
AGRO;CEQ145852;21,542.92
AGRO;CEQ145853;84,531.95
AGRO;CEQ145854;34,574.27
AGRO;CEQ145855;21,018.31
AGRO;CEQ145856;33,217.50
AGRO;CEQ145857;4,768.54
AGRO;CEQ145858;51,420.46
AGRO;CEQ145859;14,774.41
AGRO;CEQ145860;42,860.49
AGRO;CEQ145861;123,624.29
AGRO;CEQ145862;3,704.65
AGRO;CEQ145863;11,163.40
AGRO;CEQ145864;8,701.71
AGRO;CEQ145865;14,673.78
AGRO;CEQ145866;905.78
AGRO;CEQ145867;13,516.47
AGRO;CEQ145868;14,371.96
AGRO;CEQ145869;2,304.65
AGRO;CEQ145870;17,987.80
AGRO;CEQ145871;4,976.61
AGRO;CEQ145872;250.91
AGRO;CEQ145873;4,240.48
AGRO;CEQ145874;7,911.78
AGRO;CEQ145875;1,779.90
AGRO;CEQ145876;29,867.19
AGRO;CEQ145877;278.92
AGRO;CEQ145878;12,899.58
AGRO;CEQ145879;6,747.92
AGRO;CEQ145880;7,209.69
AGRO;CEQ145881;17,518.10
AGRO;CEQ145882;18,735.19
AGRO;CEQ145883;16,787.27
AGRO;CEQ145884;43,081.93
AGRO;CEQ145885;5,547.77
AGRO;CEQ145886;18,712.69
AGRO;CEQ145887;14,514.94
AGRO;CEQ145888;48,689.59
AGRO;CEQ145889;75,440.82
AGRO;CEQ145890;20,285.55
AGRO;CEQ145891;88,749.27
AGRO;CEQ145892;30,649.24
AGRO;CEQ145893;25,428.83
AGRO;CEQ145894;12,969.93
AGRO;CEQ145895;49,292.70
AGRO;CEQ145896;5,257.58
AGRO;CEQ145897;68,882.05
AGRO;CEQ145898;21,406.29
AGRO;CEQ145899;21,635.75
AGRO;CEQ145900;25,783.79
AGRO;CEQ145901;24,099.49
AGRO;CEQ145902;11,329.03
AGRO;CEQ145903;1,547.13
AGRO;CEQ145904;10,939.47
AGRO;CEQ145905;33,722.31
AGRO;CEQ145906;3,759.10
AGRO;CEQ145907;154,155.61
AGRO;CEQ145908;5,028.27
AGRO;CEQ145909;16,448.25
AGRO;CEQ145910;19,638.96
AGRO;CEQ145911;33,231.49
AGRO;CEQ145912;12,107.19
AGRO;CEQ145913;16,402.34
AGRO;CEQ145914;14,078.75
AGRO;CEQ145915;62,487.12
AGRO;CEQ145916;33,387.99
AGRO;CEQ145917;23,780.69
AGRO;CEQ145918;11,799.22
AGRO;CEQ145919;29,457.89
AGRO;CEQ145920;1,858.06
AGRO;CEQ145921;3,488.06
AGRO;CEQ145922;10,248.00
AGRO;CEQ145923;5,069.48
AGRO;CEQ145924;147,881.96
AGRO;CEQ145925;18,764.42
AGRO;CEQ145926;10,643.04
AGRO;CEQ145927;23,816.14
AGRO;CEQ145928;7,998.15
AGRO;CEQ145929;12,290.51
AGRO;CEQ145930;15,221.01
AGRO;CEQ145931;71,044.01
AGRO;CEQ145932;17,437.00
AGRO;CEQ145933;8,335.73
AGRO;CEQ145934;9,927.68
AGRO;CEQ145935;74,092.13
AGRO;CEQ145936;16,414.76
AGRO;CEQ145937;31,603.12
AGRO;CEQ145938;10,224.66
AGRO;CEQ145939;3,807.08
AGRO;CEQ145940;298.85
AGRO;CEQ145941;31,220.29
AGRO;CEQ145942;115,491.89
